trianle_name,lenght
1,0.579
1,0.556
1,0.632
2,1.221
2,1.263
2,1.362
3,1.254
3,1.193
3,1.198
4,1.964
4,1.953
4,1.985
5,1.360
5,1.239
5,1.137
8,0.993
8,1.018
8,1.052
9,1.947
9,1.962
10,1.931
10,1.902
10,1.992
11,1.631
11,1.631
11,1.685
12,1.599
12,1.630
12,1.631
13,0.800
13,0.331
13,1.107
14,1.780
14,1.585
14,1.709
15,1.666
15,1.564
15,1.651
16,1.343
16,1.326
16,1.386
17,1.338
17,1.304
17,1.300
18,1.373
18,1.265
18,1.478
19,0.833
19,0.906
19,0.987
20,1.909
20,1.866
20,1.902
21,1.884
21,1.961
22,1.879
22,1.916
22,1.953
23,1.508
23,1.545
23,1.605
25,1.711
25,1.730
25,1.761
26,1.117
26,1.081
26,0.118
27,1.201
27,0.400
27,1.349
30,1.831
30,1.840
30,1.879
31,1.821
31,1.816
31,1.876
32,1.703
32,1.730
32,1.775
33,1.339
33,1.254
33,1.356
34,1.058
34,0.958
34,0.981
35,1.123
35,1.081
35,1.048
36,1.022
36,1.045
36,1.077
37,0.039
37,0.039
37,0.055
38,0.788
38,0.736
38,0.828
39,1.698
39,1.744
39,1.782
40,1.759
40,1.708
40,1.655
41,1.876
41,1.852
41,1.915
42,1.884
42,1.879
42,1.926