Jsc,Voc,FF,Efficiency,Sr,Sp,Temp
8.96,0.38,35.59,1.21,17.08,55.93,450
5.82,0.08,25.13,0.12,13.45,0.18,450
5.97,0.41,54.04,1.33,12.11,525.57,450
6.91,0.13,25.48,0.23,17.65,1.55,450
6.05,0.13,26.13,0.21,20.31,3.8,450
6.07,0.16,26.69,0.26,23.1,7.02,450
6.04,0.19,28.34,0.33,24.92,17.79,450
6.98,0.07,24.85,0.12,9.61,0.49,450
12.61,0.5,70.18,4.41,8.11,3689.16,500
12.63,0.5,68.04,4.28,12.12,3488.8,500
12.42,0.49,68.25,4.18,11.78,3185.22,500
9.15,0.4,53.81,1.97,8.84,665.14,500
6.82,0.13,33.33,0.29,10.96,21.7,500
7.09,0.15,38.52,0.4,9.4,47.47,500
7.43,0.15,40.43,0.45,8.17,55.31,500
13.97,0.51,71.93,5.18,4.41,7501.35,550
13.66,0.52,71.31,5.05,5.71,8872.11,550
13.94,0.52,72.7,5.26,4.57,8460.22,550
13.83,0.51,70.48,5,5.57,7309.23,550
13.57,0.51,71.51,4.92,3.94,5373.08,550
13.59,0.51,70.42,4.88,5.19,6021.88,550
13.74,0.51,73.55,5.2,3.82,8118.63,550
13.59,0.48,60.14,3.95,6.29,4001.04,550
13.68,0.55,76.84,5.76,3.95,36090.37,600
13.77,0.55,77.13,5.81,3.57,18955.41,600
13.8,0.54,75.41,5.65,3.64,10962.68,600
12.68,0.5,56.15,3.58,7.36,189.2,600
11.99,0.47,66.52,3.77,4.77,5742.96,600
11.35,0.4,59.15,2.67,6.33,2191.22,600
10.23,0.28,49.6,1.43,8.54,552.07,600
14.72,0.56,76.48,6.34,3.22,31409.97,700
14.75,0.57,74.29,6.2,4.17,12532.03,700
14.66,0.57,74.91,6.21,4.02,69234.36,700
14.14,0.55,71.02,5.52,5.1,14534.73,700
13.67,0.52,76.35,5.46,3.28,9004.15,700
14.02,0.53,76.12,5.7,3.76,18075.18,700
14.33,0.54,75.79,5.91,4.09,77860.21,700
13.13,0.52,71.92,4.9,5.28,7083.52,700